
--- LIVE MARKET FEED ---
Symbol: XAUUSD
Current NY Time: 2026-03-06 10:35:00
Current Live Price: 5159.815
Today's Daily High: 5171.238
Today's Daily Low: 5062.125

--- MAJOR SESSIONS (OHLC) ---
ASIAN (19:00-00:00): Closed | O: 5086.285 | H: 5143.665 | L: 5066.215 | C: 5127.485
LONDON (02:00-05:00): Closed | O: 5115.085 | H: 5122.765 | L: 5078.085 | C: 5079.065
NY AM (07:00-12:00): Developing (Live) | O: 5077.355 | H: 5171.238 | L: 5065.058 | C: 5159.815

--- NY MACROS (OHLC) ---
MACRO 1 (08:50-09:10): Closed | O: 5117.405 | H: 5121.435 | L: 5073.515 | C: 5095.825
MACRO 2 (09:50-10:10): Closed | O: 5093.475 | H: 5158.955 | L: 5091.915 | C: 5147.795
MACRO 3 (10:50-11:10): Closed | O: 5088.795 | H: 5104.475 | L: 5073.945 | C: 5081.105
MACRO 4 (11:50-12:10): Closed | O: 5078.295 | H: 5089.275 | L: 5069.975 | C: 5086.715
MACRO 5 (13:50-14:10): Closed | O: 5078.035 | H: 5080.995 | L: 5066.875 | C: 5071.525

--- HIGHER TIMEFRAME MARKET STRUCTURE ---
The following is the OHLC data for the last 100 4-Hour (H4) candles to determine macro trend:
ny_time,open,high,low,close
2026-02-11 21:00,5063.675,5077.995,5050.568,5075.665
2026-02-12 01:00,5075.695,5080.535,5046.678,5072.705
2026-02-12 05:00,5072.735,5083.475,5048.485,5075.645
2026-02-12 09:00,5075.605,5077.485,4877.255,4940.795
2026-02-12 13:00,4941.418,4957.955,4906.185,4921.109
2026-02-12 17:00,4915.638,4988.285,4886.998,4980.365
2026-02-12 21:00,4979.945,4996.955,4944.475,4946.435
2026-02-13 01:00,4946.435,4989.315,4945.835,4970.095
2026-02-13 05:00,4970.055,4999.185,4933.495,4987.535
2026-02-13 09:00,4987.655,5033.618,4963.748,5021.095
2026-02-13 13:00,5020.835,5045.965,5015.098,5040.285
2026-02-15 17:00,5036.298,5051.678,4999.428,5028.605
2026-02-15 21:00,5028.635,5030.885,4964.868,4990.155
2026-02-16 01:00,4990.035,5017.055,4984.325,5013.195
2026-02-16 05:00,5012.955,5016.975,4989.218,4996.995
2026-02-16 09:00,4996.975,4999.395,4968.665,4991.625
2026-02-16 13:00,4991.605,4997.535,4988.305,4991.708
2026-02-16 17:00,4994.738,5000.645,4922.805,4956.835
2026-02-16 21:00,4956.965,4970.845,4856.648,4887.855
2026-02-17 01:00,4888.255,4932.175,4886.205,4924.005
2026-02-17 05:00,4924.225,4944.255,4869.025,4869.265
2026-02-17 09:00,4869.305,4906.675,4840.095,4864.545
2026-02-17 13:00,4864.485,4910.165,4862.085,4878.465
2026-02-17 17:00,4870.078,4892.448,4853.775,4889.605
2026-02-17 21:00,4889.665,4939.845,4886.115,4933.165
2026-02-18 01:00,4933.205,4942.095,4912.735,4917.105
2026-02-18 05:00,4917.135,4968.585,4906.055,4954.285
2026-02-18 09:00,4954.395,5010.815,4951.985,4998.855
2026-02-18 13:00,4998.845,5002.828,4972.655,4975.439
2026-02-18 17:00,4979.798,4988.495,4960.048,4972.645
2026-02-18 21:00,4972.685,4998.405,4965.455,4996.665
2026-02-19 01:00,4996.645,5022.015,4992.778,4995.435
2026-02-19 05:00,4995.295,4998.205,4971.978,4996.815
2026-02-19 09:00,4996.695,5021.948,4962.638,4984.805
2026-02-19 13:00,4984.289,5003.885,4975.065,4993.685
2026-02-19 17:00,4997.798,5014.515,4985.045,4996.585
2026-02-19 21:00,4996.778,5012.005,4981.315,5012.005
2026-02-20 01:00,5012.035,5042.325,5004.665,5027.535
2026-02-20 05:00,5027.555,5048.555,5006.775,5043.385
2026-02-20 09:00,5043.405,5076.038,4989.025,5072.685
2026-02-20 13:00,5072.735,5107.698,5053.715,5106.169
2026-02-22 17:00,5101.338,5171.565,5096.958,5156.655
2026-02-22 21:00,5156.668,5176.385,5151.655,5157.795
2026-02-23 01:00,5157.815,5161.265,5121.818,5149.095
2026-02-23 05:00,5149.125,5165.235,5143.405,5145.855
2026-02-23 09:00,5145.858,5218.865,5141.225,5207.315
2026-02-23 13:00,5207.345,5237.725,5200.998,5228.209
2026-02-23 17:00,5231.098,5249.575,5144.698,5176.937
2026-02-23 21:00,5176.937,5191.605,5160.698,5182.498
2026-02-24 01:00,5182.445,5184.545,5156.305,5170.605
2026-02-24 05:00,5170.705,5181.275,5110.565,5114.775
2026-02-24 09:00,5114.775,5164.145,5093.225,5164.045
2026-02-24 13:00,5164.045,5173.075,5139.675,5141.345
2026-02-24 17:00,5139.998,5189.635,5127.048,5177.575
2026-02-24 21:00,5177.555,5210.335,5166.205,5200.698
2026-02-25 01:00,5200.698,5200.698,5176.325,5192.705
2026-02-25 05:00,5192.655,5195.147,5154.895,5185.155
2026-02-25 09:00,5185.565,5217.385,5158.445,5207.165
2026-02-25 13:00,5207.185,5207.948,5144.958,5164.915
2026-02-25 17:00,5158.498,5198.285,5154.835,5191.175
2026-02-25 21:00,5191.165,5205.215,5173.698,5198.155
2026-02-26 01:00,5198.155,5199.385,5167.265,5185.955
2026-02-26 05:00,5186.035,5189.905,5157.495,5164.905
2026-02-26 09:00,5164.855,5192.535,5129.495,5167.875
2026-02-26 13:00,5167.978,5200.865,5160.115,5182.715
2026-02-26 17:00,5184.258,5194.985,5166.535,5194.795
2026-02-26 21:00,5194.755,5200.424,5173.185,5197.565
2026-02-27 01:00,5197.825,5199.178,5171.858,5175.595
2026-02-27 05:00,5175.635,5240.235,5168.155,5224.385
2026-02-27 09:00,5224.185,5257.405,5213.535,5234.335
2026-02-27 13:00,5234.285,5280.878,5222.295,5277.419
2026-03-01 17:00,5371.998,5392.995,5302.298,5324.185
2026-03-01 21:00,5324.165,5366.935,5316.745,5365.275
2026-03-02 01:00,5364.955,5418.875,5363.385,5390.915
2026-03-02 05:00,5390.895,5416.625,5374.865,5392.105
2026-03-02 09:00,5392.055,5394.895,5260.095,5306.725
2026-03-02 13:00,5306.695,5346.045,5289.275,5321.845
2026-03-02 17:00,5330.798,5379.755,5328.895,5338.415
2026-03-02 21:00,5338.595,5375.255,5304.465,5320.535
2026-03-03 01:00,5320.615,5335.735,5225.718,5275.625
2026-03-03 05:00,5275.625,5287.555,5072.058,5157.095
2026-03-03 09:00,5157.145,5175.118,4995.475,5079.775
2026-03-03 13:00,5079.825,5148.645,5079.405,5084.865
